fen,move,score,outcome
rnbqk2r/p1pp1p1p/1p2p1p1/3n4/P2P4/1P1K1Q2/2P1PPPP/RNB1bBNR w kq - 12 8,c2c3,0,0.5
rnbqk2r/p1pp1p1p/1p2p1p1/3n4/P2P4/1PPK1Q2/4PPPP/RNB1bBNR b kq - 0 9,d8f6,0,0.5
rnb1k2r/p1pp1p1p/1p2pqp1/3n4/P2P4/1PPK1Q2/4PPPP/RNB1bBNR w kq - 1 9,f3f6,0,0.5
rnb1k2r/p1pp1p1p/1p2pQp1/3n4/P2P4/1PPK4/4PPPP/RNB1bBNR b kq - 0 10,d5f6,0,0.5
rnb1k2r/p1pp1p1p/1p2pnp1/8/P2P4/1PPK4/4PPPP/RNB1bBNR w kq - 0 10,a4a5,0,0.5
rnb1k2r/p1pp1p1p/1p2pnp1/P7/3P4/1PPK4/4PPPP/RNB1bBNR b kq - 0 11,b6a5,0,0.5
rnb1k2r/p1pp1p1p/4pnp1/p7/3P4/1PPK4/4PPPP/RNB1bBNR w kq - 0 11,a1a5,0,0.5
rnb1k2r/p1pp1p1p/4pnp1/R7/3P4/1PPK4/4PPPP/1NB1bBNR b kq - 0 12,e1f2,0,0.5
rnb1k2r/p1pp1p1p/4pnp1/R7/3P4/1PPK4/4PbPP/1NB2BNR w kq - 0 12,e2e3,0,0.5
rnb1k2r/p1pp1p1p/4pnp1/R7/3P4/1PPKP3/5bPP/1NB2BNR b kq - 0 13,e8g8,0,0.5
rnb2rk1/p1pp1p1p/4pnp1/R7/3P4/1PPKP3/5bPP/1NB2BNR w - - 1 13,g2g3,0,0.5
rnb2rk1/p1pp1p1p/4pnp1/R7/3P4/1PPKP1P1/5b1P/1NB2BNR b - - 0 14,f6e8,0,0.5
rnb1nrk1/p1pp1p1p/4p1p1/R7/3P4/1PPKP1P1/5b1P/1NB2BNR w - - 1 14,h2h3,0,0.5
rnb1nrk1/p1pp1p1p/4p1p1/R7/3P4/1PPKP1PP/5b2/1NB2BNR b - - 0 15,e6e5,0,0.5
rnb1nrk1/p1pp1p1p/6p1/R3p3/3P4/1PPKP1PP/5b2/1NB2BNR w - - 0 15,d4e5,0,0.5
rnb1nrk1/p1pp1p1p/6p1/R3P3/8/1PPKP1PP/5b2/1NB2BNR b - - 0 16,f2g3,0,0.5
rnb1nrk1/p1pp1p1p/6p1/R3P3/8/1PPKP1bP/8/1NB2BNR w - - 0 16,b3b4,0,0.5
rnb1nrk1/p1pp1p1p/6p1/R3P3/1P6/2PKP1bP/8/1NB2BNR b - - 0 17,g6g5,0,0.5
rnb1nrk1/p1pp1p1p/8/R3P1p1/1P6/2PKP1bP/8/1NB2BNR w - - 0 17,c3c4,0,0.5
rnb1nrk1/p1pp1p1p/8/R3P1p1/1PP5/3KP1bP/8/1NB2BNR b - - 0 18,d7d6,0,0.5
rnb1nrk1/p1p2p1p/3p4/R3P1p1/1PP5/3KP1bP/8/1NB2BNR w - - 0 18,e5d6,0,0.5
rnb1nrk1/p1p2p1p/3P4/R5p1/1PP5/3KP1bP/8/1NB2BNR b - - 0 19,g3d6,0,0.5
rnb1nrk1/p1p2p1p/3b4/R5p1/1PP5/3KP2P/8/1NB2BNR w - - 0 19,a5g5,0,0.5
rnb1nrk1/p1p2p1p/3b4/6R1/1PP5/3KP2P/8/1NB2BNR b - - 0 20,g8h8,100,0.5
rnb1nr1k/p1p2p1p/3b4/6R1/1PP5/3KP2P/8/1NB2BNR w - - 1 20,c1b2,0,0.5
rnb1nr1k/p1p2p1p/3b4/6R1/1PP5/3KP2P/1B6/1N3BNR b - - 2 21,f7f6,100,0.5
rnb1nr1k/p1p4p/3b1p2/6R1/1PP5/3KP2P/1B6/1N3BNR w - - 0 21,f1g2,0,0.5
